Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Changes,Valeur actuelle,2025-11-25 20:47:06,2025-11-25 20:47:06,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1242.06
Paiement par carte,Valeur actuelle,2025-11-25 22:44:10,2025-11-26 06:15:51,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,1235.46
Paiement par carte,Valeur actuelle,2025-11-25 13:50:55,2025-11-26 06:15:53,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,1228.86
Paiement par carte,Valeur actuelle,2025-11-25 16:10:06,2025-11-26 06:15:53,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,1226.56
Paiement par carte,Valeur actuelle,2025-11-25 22:45:03,2025-11-26 06:15:53,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,1224.26
Paiement par carte,Valeur actuelle,2025-11-26 15:57:12,2025-11-27 06:18:52,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,1221.96
Paiement par carte,Valeur actuelle,2025-11-26 15:56:39,2025-11-27 06:18:53,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,1210.96
Changes,Valeur actuelle,2025-11-27 10:44:50,2025-11-27 10:44:50,Change en CHF,371.67,0.00,CHF,TERMINÉ,1582.63
Virement,Valeur actuelle,2025-11-27 13:00:18,2025-11-27 13:00:18,Vers le compte d'investissement,-253.59,0.00,CHF,TERMINÉ,1329.04
Paiement par carte,Valeur actuelle,2025-11-27 10:47:29,2025-11-28 16:09:07,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,1326.74
Paiement par carte,Valeur actuelle,2025-11-27 15:00:05,2025-11-28 16:09:07,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,1324.44
Paiement par carte,Valeur actuelle,2025-11-29 14:17:23,2025-11-30 06:17:31,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,1313.44
Virement,Valeur actuelle,2025-12-01 18:27:09,2025-12-01 18:27:10,Virement à un utilisateur Revolut,-1200.00,0.00,CHF,TERMINÉ,113.44
Virement,Valeur actuelle,2025-12-03 07:50:36,2025-12-03 07:50:36,To margin trading account,-16.08,0.00,CHF,TERMINÉ,97.36
Changes,Valeur actuelle,2025-12-04 20:02:40,2025-12-04 20:02:40,Change en EUR,-18.76,0.00,CHF,TERMINÉ,78.60
Paiement par carte,Valeur actuelle,2025-12-05 19:22:27,2025-12-06 06:09:02,SBB CFF FFS,-2.00,0.00,CHF,TERMINÉ,76.60
Paiement par carte,Valeur actuelle,2025-12-05 19:55:56,2025-12-06 06:09:02,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,65.60
Paiement par carte,Valeur actuelle,2025-12-05 14:17:21,2025-12-08 13:06:05,ilévia,-1.13,0.00,CHF,TERMINÉ,64.47
Changes,Valeur actuelle,2025-12-15 18:35:00,2025-12-15 18:35:00,Change en EUR,-30.97,0.00,CHF,TERMINÉ,33.50
Paiement par carte,Valeur actuelle,2025-12-14 23:14:56,2025-12-16 06:35:49,SBB CFF FFS,-9.60,0.00,CHF,TERMINÉ,23.90
Changes,Valeur actuelle,2025-12-17 17:43:30,2025-12-17 17:43:30,Change en EUR,-21.53,0.00,CHF,TERMINÉ,2.37
Changes,Valeur actuelle,2025-12-19 16:01:58,2025-12-19 16:01:58,Change en CHF,10.00,0.00,CHF,TERMINÉ,12.37
Paiement par carte,Valeur actuelle,2025-12-19 16:02:27,2025-12-20 05:49:32,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,1.37
Changes,Valeur actuelle,2025-12-22 23:11:27,2025-12-22 23:11:27,Change en CHF,2000.00,0.00,CHF,TERMINÉ,2001.37
Virement,Valeur actuelle,2025-12-23 13:14:52,2025-12-23 13:14:52,Virement à un utilisateur Revolut,-1200.00,0.00,CHF,TERMINÉ,801.37
Virement,Valeur actuelle,2025-12-26 00:55:53,2025-12-26 00:55:53,Virement à : GAIA BARBINI,-496.37,0.00,CHF,TERMINÉ,305.00
Paiement par carte,Valeur actuelle,2025-12-30 12:19:30,2025-12-31 07:07:55,SBB CFF FFS,-7.80,0.00,CHF,TERMINÉ,297.20
Paiement par carte,Valeur actuelle,2026-01-08 11:51:47,2026-01-09 12:09:55,Deliveroo,-44.02,0.00,CHF,TERMINÉ,253.18
Paiement par carte,Valeur actuelle,2026-01-10 14:29:59,2026-01-11 11:12:35,Auchan,-21.80,0.00,CHF,TERMINÉ,231.38
Paiement par carte,Valeur actuelle,2026-01-13 18:58:50,2026-01-14 12:57:34,Deliveroo,-15.44,0.00,CHF,TERMINÉ,215.94
Paiement par carte,Valeur actuelle,2026-01-15 12:46:29,2026-01-16 11:41:57,Carrefour,-22.99,0.00,CHF,TERMINÉ,192.95
Paiement par carte,Valeur actuelle,2026-01-15 19:32:19,2026-01-16 12:10:34,Deliveroo,-15.32,0.00,CHF,TERMINÉ,177.63
Paiement par carte,Valeur actuelle,2026-01-16 18:14:03,2026-01-17 06:45:43,SBB CFF FFS,-13.50,0.00,CHF,TERMINÉ,164.13
Paiement par carte,Valeur actuelle,2026-01-16 17:40:27,2026-01-17 12:45:55,Deliveroo,-5.59,0.00,CHF,TERMINÉ,158.54
Changes,Valeur actuelle,2026-01-21 22:39:11,2026-01-21 22:39:11,Change en EUR,-13.98,0.00,CHF,TERMINÉ,144.56
Paiement par carte,Valeur actuelle,2026-01-24 03:15:20,2026-01-25 09:53:20,Amazon Prime,-6.47,0.00,CHF,TERMINÉ,138.09
Paiement par carte,Valeur actuelle,2026-01-24 23:26:57,2026-01-26 06:22:36,SBB CFF FFS,-8.00,0.00,CHF,TERMINÉ,130.09
Paiement par carte,Valeur actuelle,2026-01-26 20:05:29,2026-01-27 10:36:22,Tao Bento,-12.95,0.00,CHF,TERMINÉ,117.14
Paiement par carte,Valeur actuelle,2026-01-27 17:58:34,2026-01-28 12:09:30,Deliveroo,-45.08,0.00,CHF,TERMINÉ,72.06
Paiement par carte,Valeur actuelle,2026-01-27 12:26:56,2026-01-28 12:39:38,La Famille,-10.07,0.00,CHF,TERMINÉ,61.99
Paiement par carte,Valeur actuelle,2026-01-30 22:03:29,2026-01-31 06:22:52,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,50.99
Virement,Valeur actuelle,2026-02-12 19:58:29,2026-02-12 19:58:30,Virement à un utilisateur Revolut,-20.00,0.00,CHF,TERMINÉ,30.99
Paiement par carte,Valeur actuelle,2026-02-14 17:23:46,2026-02-15 06:14:27,SBB CFF FFS,-2.90,0.00,CHF,TERMINÉ,28.09
Paiement par carte,Valeur actuelle,2026-02-14 11:50:24,2026-02-15 15:41:59,Fishcake,-10.00,0.00,CHF,TERMINÉ,18.09
Changes,Épargne,2025-02-26 07:54:41,2025-02-26 07:54:41,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1201.88
Virement,Épargne,2025-02-26 08:05:44,2025-02-26 08:05:44,Retrait depuis une Pocket,-1201.00,0.00,CHF,TERMINÉ,0.88
Changes,Épargne,2025-04-22 13:32:02,2025-04-22 13:32:02,Change en CHF,50.00,0.00,CHF,TERMINÉ,50.88
Virement,Épargne,2025-04-22 13:37:04,2025-04-22 13:37:05,Virement à un utilisateur Revolut,-20.00,0.00,CHF,TERMINÉ,30.88
Changes,Épargne,2025-04-25 20:05:59,2025-04-25 20:05:59,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1230.88
Virement,Épargne,2025-04-26 12:30:56,2025-04-26 12:30:56,Retrait depuis une Pocket,-25.00,0.00,CHF,TERMINÉ,1205.88
Virement,Épargne,2025-04-27 09:23:59,2025-04-28 05:14:46,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,4.44
Changes,Épargne,2025-05-08 13:37:29,2025-05-08 13:37:29,Change en CHF,350.00,0.00,CHF,TERMINÉ,354.44
Virement,Épargne,2025-05-10 10:19:06,2025-05-10 10:19:06,Retrait depuis une Pocket,-200.00,0.00,CHF,TERMINÉ,154.44
Virement,Épargne,2025-05-10 10:49:11,2025-05-10 10:49:11,Retrait depuis une Pocket,-150.00,0.00,CHF,TERMINÉ,4.44
Changes,Épargne,2025-07-28 20:09:30,2025-07-28 20:09:30,Change en CHF,1300.00,0.00,CHF,TERMINÉ,1304.44
Virement,Épargne,2025-07-31 08:59:56,2025-07-31 09:30:20,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,103.00
Virement,Épargne,2025-08-06 13:02:36,2025-08-06 13:02:36,Retrait depuis une Pocket,-100.00,0.00,CHF,TERMINÉ,3.00
