Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-05-29 14:01:06,2025-05-30 15:33:41,Juraparc,-16.80,0.00,CHF,TERMINÉ,616.30
Paiement par carte,Valeur actuelle,2025-05-29 10:00:39,2025-05-30 15:33:42,Grottes de Vallorbe,-18.00,0.00,CHF,TERMINÉ,598.30
Paiement par carte,Valeur actuelle,2025-05-30 15:41:59,2025-05-31 14:46:10,Communaute Emmaus,-24.00,0.00,CHF,TERMINÉ,574.30
Changes,Valeur actuelle,2025-06-05 13:04:11,2025-06-05 13:04:11,Change en EUR,-150.16,0.00,CHF,TERMINÉ,424.14
Paiement par carte,Valeur actuelle,2025-06-06 16:26:52,,Heetch,-16.01,0.00,CHF,RENVOYÉ,
Changes,Valeur actuelle,2025-06-06 16:51:28,2025-06-06 16:51:28,Change en EUR,-188.14,0.00,CHF,TERMINÉ,236.00
Paiement par carte,Valeur actuelle,2025-06-06 23:10:28,2025-06-08 06:58:22,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,225.00
Paiement par carte,Valeur actuelle,2025-06-23 18:16:07,2025-06-24 06:38:44,SBB CFF FFS,-8.60,0.00,CHF,TERMINÉ,216.40
Changes,Valeur actuelle,2025-06-26 17:21:52,2025-06-26 17:21:52,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1416.40
Virement,Valeur actuelle,2025-06-30 07:56:55,2025-06-30 08:25:58,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,214.96
Paiement par carte,Valeur actuelle,2025-06-28 13:05:13,2025-06-30 15:24:45,Bar Restaurant LE TOKYO,-92.00,0.00,CHF,TERMINÉ,122.96
Paiement par carte,Valeur actuelle,2025-06-29 11:49:37,2025-06-30 15:44:53,BP,-24.70,0.00,CHF,TERMINÉ,98.26
Paiement par carte,Valeur actuelle,2025-06-30 23:44:14,2025-07-02 07:01:19,SBB CFF FFS,-8.00,0.00,CHF,TERMINÉ,90.26
Paiement par carte,Valeur actuelle,2025-07-08 21:04:54,2025-07-09 07:04:19,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,79.26
Paiement par carte,Valeur actuelle,2025-07-09 06:58:49,2025-07-10 07:23:02,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,76.86
Paiement par carte,Valeur actuelle,2025-07-09 07:22:59,2025-07-10 07:23:02,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,70.26
Paiement par carte,Valeur actuelle,2025-07-09 18:04:42,2025-07-10 07:23:06,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,67.86
Paiement par carte,Valeur actuelle,2025-07-09 07:19:41,2025-07-10 07:23:09,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,56.86
Paiement par carte,Valeur actuelle,2025-07-09 23:04:32,2025-07-11 06:49:00,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,50.26
Paiement par carte,Valeur actuelle,2025-07-10 14:18:11,2025-07-11 06:49:00,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,43.66
Paiement par carte,Valeur actuelle,2025-07-10 06:44:22,2025-07-11 06:49:02,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,41.26
Paiement par carte,Valeur actuelle,2025-07-10 16:13:32,2025-07-11 06:49:02,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,38.86
Paiement par carte,Valeur actuelle,2025-07-10 17:37:36,2025-07-11 15:13:42,Tamoil,-22.20,0.00,CHF,TERMINÉ,16.66
Virement,Valeur actuelle,2025-07-11 16:20:16,2025-07-11 16:20:16,Virement d'un utilisateur Revolut,5.00,0.00,CHF,TERMINÉ,21.66
Paiement par carte,Valeur actuelle,2025-07-11 06:56:40,2025-07-12 09:47:26,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,19.26
Paiement par carte,Valeur actuelle,2025-07-11 15:14:46,2025-07-12 09:47:28,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,12.66
Paiement par carte,Valeur actuelle,2025-07-11 16:31:09,2025-07-12 09:47:28,SBB CFF FFS,-2.40,0.00,CHF,TERMINÉ,10.26
Paiement par carte,Valeur actuelle,2025-07-10 23:07:51,2025-07-12 09:47:30,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,3.66
Changes,Valeur actuelle,2025-07-12 10:30:20,2025-07-12 10:30:20,Change en CHF,100.00,0.00,CHF,TERMINÉ,103.66
Paiement par carte,Valeur actuelle,2025-07-12 10:45:30,2025-07-13 16:03:08,Communaute Emmaus,-26.00,0.00,CHF,TERMINÉ,77.66
Paiement par carte,Valeur actuelle,2025-07-13 14:07:15,2025-07-14 06:42:01,SBB CFF FFS,-8.40,0.00,CHF,TERMINÉ,69.26
